customer_id,num_services,num_services_active,num_services_inactive,cc_service_count,db_service_count,nlp_service_count,cc_pro_service_count,ml_service_count,integrations_count,third_party_integrations,num_businesses,tier_level,customer_type,enterprise_account,enterprise_account_legacy,is_activated,has_cloud_storage,has_cloud_storage_only,account_size,third_party_integration_flag,register_sale_ord,account_created_time,first_activated_time,min_bill_date,max_bill_date,sticky_bill_date,address,marketing_campaign_response
1168239,7,2,0,0,0,0,0,0,108.0,0.0,,PREMIUM_PLUS,Services,False,False,True,False,False,,1,1.0,2016-04-04 19:17:49,2016-06-12 23:08:01,2016-06-05,2021-03-18,2016-07-12,"906 Cindy Trafficway Suite 948, AZ, US",1
6076186,10,4,0,0,0,2,0,0,84.0,0.0,16.0,LITE,Business_type_1,False,False,True,False,False,medium,1,,2020-11-16 14:22:58,2020-11-10 14:55:27,2020-11-24,2021-03-06,2020-10-30,"9093 Taylor Greens Apt. 852, FL, US",1
3254220,0,0,0,0,0,0,0,0,90.0,0.0,,PREMIUM_PLUS,Services,False,False,False,False,False,small,2,,2018-04-30 15:01:46,,2018-04-28,2018-11-08,2018-05-21,"5161 Wilson Summit, SC, US",0
4446927,5,10,0,0,0,6,0,0,260.0,1.0,,PREMIUM,Business_type_1,False,False,True,False,False,,2,,2019-06-05 15:54:07,2019-06-08 19:59:39,2019-05-30,2021-02-09,,"8986 Michelle Falls, FL, US",1
3845495,7,1,0,0,0,0,0,0,108.0,21.0,,LITE,Business_type_1,False,False,True,False,False,large,1,2.0,2018-12-17 05:13:08,2019-01-08 15:39:22,2018-12-16,2021-03-15,2019-02-21,"71039 Burns Prairie, FL, US",1
1143164,0,0,0,0,0,0,0,0,152.0,0.0,,BASIC,Services,False,False,False,False,False,,1,,2016-04-03 18:27:13,,2016-04-27,2017-09-11,2016-06-17,"241 Silva Cliff Apt. 360, NM, US",0
2369497,0,0,0,0,0,0,0,0,46.0,0.0,,PREMIUM,Services,False,False,False,True,True,,1,,2017-07-10 13:13:49,,2017-07-22,2019-03-11,2018-04-08,"265 Michael Radial Apt. 875, CA, US",0
913424,0,0,0,0,0,0,0,0,38.0,0.0,,PREMIUM,Customer,False,False,False,True,True,,1,,2016-01-26 11:52:03,,2016-02-08,2019-05-27,2016-02-03,"6094 John Prairie, SC, US",0
148031,40,32,0,24,7,0,0,0,144.0,0.0,24.0,BASIC,Business_type_1,False,False,True,True,False,large,2,,2014-10-09 21:40:22,2014-11-07 22:02:03,2014-11-15,2019-12-31,2015-01-15,"7816 Elizabeth Haven Suite 272, VA, US",1
1102841,3,5,0,0,0,0,0,0,32.0,0.0,2.0,PREMIUM,Services,False,False,True,True,False,,1,,2016-03-24 21:31:52,2016-03-24 14:21:44,2016-04-22,2019-08-16,2016-04-22,"617 Dickson Ridge Apt. 826, MN, US",0
